id,loan_status
58645,0
58646,1
58647,0
58648,0
58649,1
58650,0
58651,1
58652,1
58653,1
58654,1
58655,1
58656,1
58657,1
58658,0
58659,0
58660,0
58661,1
58662,0
58663,0
58664,1
58665,0
58666,1
58667,1
58668,0
58669,0
58670,0
58671,1
58672,0
58673,1
58674,1
58675,0
58676,0
58677,0
58678,1
58679,0
58680,0
58681,0
58682,1
58683,0
58684,0
58685,1
58686,1
58687,0
58688,1
58689,1
58690,1
58691,0
58692,0
58693,1
58694,1
58695,1
58696,0
58697,1
58698,0
58699,0
58700,1
58701,0
58702,0
58703,0
58704,1
58705,1
58706,1
58707,0
58708,0
58709,1
58710,0
58711,0
58712,0
58713,1
58714,0
58715,0
58716,1
58717,0
58718,1
58719,1
58720,0
58721,1
58722,1
58723,0
58724,0
58725,0
58726,0
58727,0
58728,0
58729,1
58730,1
58731,1
58732,1
58733,0
58734,0
58735,0
58736,0
58737,1
58738,1
58739,0
58740,1
58741,0
58742,1
58743,0
58744,1
58745,0
58746,1
58747,1
58748,0
58749,0
58750,1
58751,0
58752,0
58753,0
58754,0
58755,1
58756,1
58757,1
58758,1
58759,1
58760,1
58761,1
58762,0
58763,0
58764,1
58765,1
58766,0
58767,1
58768,0
58769,0
58770,1
58771,1
58772,1
58773,0
58774,1
58775,1
58776,0
58777,1
58778,0
58779,1
58780,0
58781,1
58782,0
58783,1
58784,1
58785,0
58786,1
58787,0
58788,1
58789,0
58790,1
58791,0
58792,1
58793,0
58794,0
58795,1
58796,0
58797,0
58798,0
58799,1
58800,0
58801,0
58802,0
58803,0
58804,0
58805,1
58806,1
58807,1
58808,0
58809,0
58810,1
58811,0
58812,0
58813,1
58814,0
58815,0
58816,1
58817,1
58818,0
58819,0
58820,1
58821,0
58822,0
58823,0
58824,0
58825,1
58826,1
58827,0
58828,1
58829,0
58830,0
58831,0
58832,0
58833,0
58834,0
58835,0
58836,0
58837,0
58838,0
58839,1
58840,1
58841,0
58842,0
58843,0
58844,1
58845,1
58846,1
58847,0
58848,1
58849,0
58850,0
58851,1
58852,0
58853,1
58854,0
58855,1
58856,0
58857,1
58858,1
58859,0
58860,0
58861,0
58862,1
58863,1
58864,1
58865,1
58866,1
58867,0
58868,1
58869,0
58870,1
58871,0
58872,1
58873,1
58874,0
58875,1
58876,0
58877,1
58878,0
58879,0
58880,1
58881,0
58882,0
58883,1
58884,1
58885,1
58886,1
58887,1
58888,1
58889,0
58890,0
58891,1
58892,0
58893,1
58894,1
58895,1
58896,1
58897,1
58898,1
58899,0
58900,1
58901,1
58902,0
58903,1
58904,1
58905,1
58906,1
58907,0
58908,0
58909,0
58910,1
58911,0
58912,1
58913,0
58914,0
58915,0
58916,0
58917,0
58918,1
58919,1
58920,1
58921,0
58922,0
58923,0
58924,0
58925,1
58926,1
58927,1
58928,0
58929,1
58930,0
58931,1
58932,0
58933,0
58934,1
58935,0
58936,0
58937,0
58938,1
58939,1
58940,0
58941,0
58942,0
58943,1
58944,1
58945,1
58946,1
58947,0
58948,1
58949,0
58950,1
58951,1
58952,0
58953,0
58954,0
58955,1
58956,0
58957,1
58958,1
58959,0
58960,0
58961,0
58962,0
58963,1
58964,0
58965,1
58966,1
58967,0
58968,1
58969,0
58970,1
58971,0
58972,1
58973,1
58974,0
58975,0
58976,1
58977,1
58978,0
58979,0
58980,0
58981,0
58982,0
58983,0
58984,0
58985,1
58986,0
58987,1
58988,0
58989,1
58990,1
58991,0
58992,0
58993,1
58994,1
58995,1
58996,1
58997,1
58998,1
58999,0
59000,0
59001,1
59002,0
59003,1
59004,1
59005,0
59006,0
59007,1
59008,1
59009,0
59010,1
59011,0
59012,0
59013,0
59014,1
59015,1
59016,1
59017,1
59018,0
59019,1
59020,1
59021,0
59022,1
59023,1
59024,1
59025,1
59026,0
59027,1
59028,1
59029,1
59030,0
59031,1
59032,1
59033,1
59034,1
59035,1
59036,0
59037,0
59038,0
59039,0
59040,1
59041,0
59042,1
59043,0
59044,1
59045,1
59046,1
59047,0
59048,0
59049,1
59050,0
59051,0
59052,1
59053,0
59054,0
59055,1
59056,0
59057,1
59058,1
59059,0
59060,1
59061,1
59062,1
59063,1
59064,0
59065,0
59066,0
59067,1
59068,1
59069,1
59070,1
59071,0
59072,0
59073,0
59074,1
59075,1
59076,0
59077,1
59078,1
59079,1
59080,1
59081,1
59082,1
59083,1
59084,0
59085,1
59086,0
59087,1
59088,1
59089,0
59090,0
59091,1
59092,1
59093,0
59094,0
59095,1
59096,1
59097,1
59098,0
59099,0
59100,0
59101,0
59102,0
59103,1
59104,1
59105,0
59106,1
59107,1
59108,0
59109,0
59110,0
59111,0
59112,0
59113,1
59114,1
59115,0
59116,0
59117,0
59118,1
59119,1
59120,0
59121,1
59122,0
59123,0
59124,1
59125,0
59126,1
59127,0
59128,1
59129,0
59130,0
59131,0
59132,0
59133,0
59134,0
59135,0
59136,1
59137,0
59138,0
59139,1
59140,0
59141,0
59142,0
59143,1
59144,0
59145,1
59146,0
59147,0
59148,0
59149,1
59150,0
59151,1
59152,1
59153,0
59154,1
59155,0
59156,0
59157,1
59158,1
59159,0
59160,0
59161,0
59162,1
59163,0
59164,0
59165,0
59166,0
59167,1
59168,0
59169,0
59170,0
59171,1
59172,0
59173,0
59174,0
59175,0
59176,0
59177,0
59178,1
59179,1
59180,1
59181,1
59182,0
59183,0
59184,1
59185,1
59186,1
59187,0
59188,1
59189,1
59190,0
59191,0
59192,0
59193,1
59194,1
59195,0
59196,0
59197,0
59198,1
59199,0
59200,1
59201,0
59202,0
59203,1
59204,1
59205,1
59206,0
59207,1
59208,1
59209,0
59210,0
59211,0
59212,1
59213,1
59214,1
59215,1
59216,1
59217,0
59218,1
59219,1
59220,0
59221,0
59222,0
59223,0
59224,1
59225,1
59226,1
59227,0
59228,1
59229,1
59230,0
59231,1
59232,0
59233,0
59234,1
59235,0
59236,1
59237,0
59238,0
59239,1
59240,1
59241,1
59242,0
59243,1
59244,1
59245,1
59246,1
59247,1
59248,0
59249,0
59250,1
59251,1
59252,1
59253,1
59254,0
59255,1
59256,1
59257,1
59258,1
59259,1
59260,1
59261,0
59262,0
59263,0
59264,0
59265,1
59266,1
59267,0
59268,1
59269,1
59270,1
59271,0
59272,1
59273,0
59274,0
59275,0
59276,0
59277,1
59278,1
59279,0
59280,0
59281,0
59282,0
59283,0
59284,1
59285,0
59286,1
59287,1
59288,1
59289,1
59290,0
59291,0
59292,0
59293,1
59294,1
59295,1
59296,0
59297,0
59298,1
59299,0
59300,1
59301,0
59302,0
59303,0
59304,1
59305,1
59306,0
59307,0
59308,1
59309,0
59310,1
59311,0
59312,0
59313,1
59314,1
59315,1
59316,0
59317,1
59318,0
59319,0
59320,0
59321,0
59322,0
59323,1
59324,1
59325,1
59326,1
59327,1
59328,0
59329,1
59330,1
59331,0
59332,0
59333,0
59334,1
59335,0
59336,0
59337,1
59338,1
59339,1
59340,0
59341,0
59342,0
59343,1
59344,0
59345,0
59346,1
59347,0
59348,1
59349,1
59350,0
59351,0
59352,0
59353,1
59354,1
59355,1
59356,0
59357,1
59358,0
59359,1
59360,1
59361,1
59362,1
59363,1
59364,0
59365,0
59366,0
59367,0
59368,1
59369,0
59370,0
59371,1
59372,1
59373,0
59374,0
59375,1
59376,1
59377,0
59378,1
59379,0
59380,0
59381,0
59382,0
59383,1
59384,0
59385,1
59386,0
59387,1
59388,0
59389,0
59390,0
59391,0
59392,0
59393,0
59394,1
59395,1
59396,0
59397,1
59398,1
59399,1
59400,1
59401,0
59402,1
59403,1
59404,0
59405,1
59406,1
59407,1
59408,1
59409,0
59410,0
59411,0
59412,1
59413,1
59414,1
59415,0
59416,1
59417,0
59418,0
59419,1
59420,1
59421,1
59422,0
59423,1
59424,1
59425,0
59426,1
59427,0
59428,1
59429,0
59430,1
59431,1
59432,0
59433,1
59434,0
59435,1
59436,0
59437,0
59438,0
59439,1
59440,0
59441,0
59442,0
59443,1
59444,0
59445,0
59446,0
59447,1
59448,0
59449,0
59450,1
59451,0
59452,0
59453,0
59454,0
59455,1
59456,0
59457,1
59458,0
59459,0
59460,0
59461,1
59462,0
59463,1
59464,1
59465,1
59466,0
59467,1
59468,1
59469,0
59470,1
59471,1
59472,0
59473,1
59474,1
59475,1
59476,0
59477,1
59478,0
59479,1
59480,1
59481,1
59482,1
59483,1
59484,0
59485,1
59486,0
59487,1
59488,0
59489,1
59490,0
59491,0
59492,1
59493,1
59494,0
59495,1
59496,1
59497,1
59498,1
59499,0
59500,1
59501,0
59502,0
59503,0
59504,1
59505,1
59506,1
59507,0
59508,0
59509,0
59510,1
59511,0
59512,1
59513,0
59514,0
59515,0
59516,0
59517,1
59518,1
59519,1
59520,0
59521,1
59522,0
59523,0
59524,0
59525,1
59526,0
59527,0
59528,1
59529,1
59530,1
59531,0
59532,1
59533,0
59534,1
59535,0
59536,1
59537,0
59538,0
59539,0
59540,0
59541,1
59542,0
59543,1
59544,1
59545,0
59546,1
59547,0
59548,1
59549,0
59550,0
59551,0
59552,0
59553,1
59554,1
59555,0
59556,1
59557,1
59558,0
59559,1
59560,1
59561,1
59562,1
59563,1
59564,1
59565,0
59566,0
59567,0
59568,1
59569,0
59570,0
59571,0
59572,1
59573,1
59574,0
59575,0
59576,0
59577,1
59578,0
59579,0
59580,0
59581,1
59582,1
59583,1
59584,0
59585,0
59586,0
59587,0
59588,1
59589,1
59590,0
59591,0
59592,1
59593,0
59594,1
59595,0
59596,0
59597,1
59598,1
59599,1
59600,1
59601,1
59602,0
59603,1
59604,0
59605,0
59606,1
59607,1
59608,0
59609,1
59610,0
59611,0
59612,1
59613,1
59614,0
59615,0
59616,0
59617,1
59618,0
59619,0
59620,1
59621,1
59622,0
59623,1
59624,1
59625,0
59626,0
59627,1
59628,0
59629,1
59630,1
59631,1
59632,0
59633,0
59634,0
59635,1
59636,1
59637,0
59638,1
59639,1
59640,0
59641,1
59642,1
59643,1
59644,1
59645,0
59646,0
59647,1
59648,0
59649,0
59650,1
59651,0
59652,1
59653,1
59654,0
59655,0
59656,1
59657,0
59658,0
59659,1
59660,0
59661,0
59662,1
59663,0
59664,1
59665,0
59666,1
59667,1
59668,1
59669,0
59670,0
59671,1
59672,1
59673,0
59674,0
59675,0
59676,0
59677,0
59678,0
59679,0
59680,1
59681,1
59682,0
59683,1
59684,1
59685,0
59686,1
59687,0
59688,1
59689,0
59690,1
59691,0
59692,1
59693,0
59694,0
59695,0
59696,1
59697,0
59698,1
59699,1
59700,0
59701,1
59702,1
59703,0
59704,1
59705,0
59706,0
59707,1
59708,0
59709,0
59710,1
59711,1
59712,0
59713,1
59714,1
59715,1
59716,0
59717,0
59718,0
59719,1
59720,0
59721,1
59722,0
59723,1
59724,1
59725,0
59726,1
59727,0
59728,1
59729,1
59730,1
59731,1
59732,0
59733,0
59734,0
59735,1
59736,0
59737,1
59738,1
59739,1
59740,1
59741,0
59742,0
59743,0
59744,1
59745,0
59746,0
59747,1
59748,0
59749,1
59750,1
59751,0
59752,0
59753,0
59754,0
59755,0
59756,1
59757,0
59758,0
59759,0
59760,1
59761,0
59762,1
59763,1
59764,1
59765,1
59766,1
59767,0
59768,1
59769,1
59770,0
59771,1
59772,0
59773,0
59774,0
59775,0
59776,0
59777,0
59778,0
59779,1
59780,1
59781,1
59782,1
59783,1
59784,1
59785,1
59786,1
59787,0
59788,1
59789,0
59790,0
59791,1
59792,0
59793,0
59794,0
59795,1
59796,1
59797,0
59798,1
59799,0
59800,1
59801,1
59802,0
59803,1
59804,1
59805,1
59806,0
59807,1
59808,0
59809,1
59810,1
59811,1
59812,0
59813,1
59814,1
59815,0
59816,1
59817,0
59818,1
59819,1
59820,1
59821,0
59822,0
59823,1
59824,0
59825,0
59826,0
59827,1
59828,1
59829,0
59830,1
59831,1
59832,0
59833,0
59834,0
59835,0
59836,0
59837,0
59838,1
59839,0
59840,0
59841,0
59842,0
59843,1
59844,0
59845,0
59846,0
59847,1
59848,0
59849,0
59850,1
59851,1
59852,1
59853,0
59854,0
59855,0
59856,0
59857,1
59858,1
59859,1
59860,1
59861,0
59862,0
59863,0
59864,0
59865,0
59866,1
59867,0
59868,1
59869,1
59870,1
59871,1
59872,1
59873,0
59874,0
59875,1
59876,0
59877,1
59878,0
59879,1
59880,0
59881,1
59882,0
59883,1
59884,1
59885,0
59886,0
59887,1
59888,1
59889,0
59890,1
59891,1
59892,0
59893,0
59894,0
59895,0
59896,0
59897,1
59898,1
59899,0
59900,1
59901,1
59902,1
59903,0
59904,0
59905,1
59906,1
59907,1
59908,1
59909,0
59910,1
59911,0
59912,0
59913,0
59914,0
59915,1
59916,1
59917,0
59918,1
59919,0
59920,1
59921,1
59922,1
59923,0
59924,1
59925,1
59926,0
59927,0
59928,0
59929,0
59930,0
59931,1
59932,0
59933,0
59934,0
59935,0
59936,0
59937,1
59938,1
59939,1
59940,1
59941,0
59942,0
59943,0
59944,0
59945,1
59946,1
59947,1
59948,0
59949,1
59950,1
59951,0
59952,1
59953,1
59954,0
59955,0
59956,1
59957,1
59958,1
59959,0
59960,0
59961,1
59962,0
59963,1
59964,0
59965,1
59966,0
59967,0
59968,1
59969,1
59970,0
59971,0
59972,1
59973,1
59974,0
59975,0
59976,0
59977,0
59978,1
59979,0
59980,0
59981,1
59982,1
59983,1
59984,0
59985,0
59986,0
59987,0
59988,1
59989,0
59990,1
59991,0
59992,0
59993,0
59994,1
59995,0
59996,1
59997,0
59998,0
59999,0
60000,1
60001,1
60002,0
60003,0
60004,0
60005,0
60006,1
60007,0
60008,0
60009,0
60010,0
60011,0
60012,1
60013,1
60014,0
60015,0
60016,0
60017,0
60018,1
60019,0
60020,0
60021,1
60022,1
60023,1
60024,0
60025,0
60026,1
60027,1
60028,1
60029,1
60030,1
60031,1
60032,1
60033,1
60034,1
60035,0
60036,1
60037,0
60038,1
60039,1
60040,1
60041,1
60042,0
60043,0
60044,0
60045,0
60046,1
60047,1
60048,1
60049,0
60050,0
60051,1
60052,1
60053,0
60054,0
60055,0
60056,0
60057,0
60058,1
60059,0
60060,1
60061,0
60062,1
60063,1
60064,0
60065,1
60066,1
60067,0
60068,1
60069,0
60070,1
60071,1
60072,0
60073,1
60074,0
60075,1
60076,1
60077,1
60078,0
60079,0
60080,1
60081,0
60082,1
60083,1
60084,0
60085,0
60086,1
60087,0
60088,0
60089,0
60090,0
60091,0
60092,1
60093,1
60094,0
60095,0
60096,0
60097,0
60098,0
60099,0
60100,1
60101,1
60102,0
60103,0
60104,1
60105,1
60106,1
60107,0
60108,1
60109,1
60110,0
60111,0
60112,1
60113,1
60114,0
60115,1
60116,1
60117,0
60118,1
60119,1
60120,0
60121,1
60122,0
60123,0
60124,0
60125,1
60126,0
60127,0
60128,1
60129,1
60130,0
60131,0
60132,0
60133,0
60134,1
60135,0
60136,0
60137,0
60138,1
60139,1
60140,1
60141,1
60142,0
60143,1
60144,1
60145,0
60146,1
60147,0
60148,1
60149,0
60150,0
60151,0
60152,1
60153,0
60154,0
60155,0
60156,1
60157,0
60158,1
60159,1
60160,0
60161,0
60162,1
60163,1
60164,1
60165,1
60166,0
60167,1
60168,1
60169,1
60170,1
60171,1
60172,0
60173,1
60174,0
60175,0
60176,1
60177,1
60178,0
60179,1
60180,1
60181,1
60182,1
60183,1
60184,0
60185,1
60186,1
60187,1
60188,0
60189,1
60190,0
60191,0
60192,0
60193,1
60194,0
60195,1
60196,1
60197,0
60198,0
60199,1
60200,0
60201,1
60202,1
60203,1
60204,0
60205,0
60206,1
60207,1
60208,0
60209,0
60210,1
60211,1
60212,1
60213,1
60214,0
60215,0
60216,1
60217,0
60218,0
60219,1
60220,1
60221,1
60222,0
60223,1
60224,0
60225,0
60226,1
60227,0
60228,1
60229,1
60230,0
60231,1
60232,0
60233,0
60234,0
60235,1
60236,1
60237,1
60238,0
60239,0
60240,1
60241,0
60242,0
60243,1
60244,1
60245,1
60246,1
60247,1
60248,1
60249,1
60250,0
60251,0
60252,1
60253,0
60254,0
60255,0
60256,1
60257,0
60258,1
60259,1
60260,1
60261,0
60262,1
60263,1
60264,0
60265,1
60266,1
60267,0
60268,1
60269,0
60270,1
60271,1
60272,0
60273,0
60274,0
60275,1
60276,1
60277,0
60278,0
60279,1
60280,0
60281,0
60282,0
60283,0
60284,1
60285,0
60286,0
60287,0
60288,1
60289,1
60290,0
60291,0
60292,1
60293,1
60294,0
60295,0
60296,1
60297,1
60298,1
60299,0
60300,0
60301,0
60302,0
60303,1
60304,0
60305,1
60306,1
60307,1
60308,0
60309,1
60310,1
60311,0
60312,0
60313,1
60314,0
60315,1
60316,1
60317,1
60318,1
60319,1
60320,1
60321,0
60322,1
60323,1
60324,1
60325,0
60326,0
60327,0
60328,1
60329,0
60330,0
60331,1
60332,1
60333,1
60334,1
60335,1
60336,1
60337,1
60338,1
60339,0
60340,0
60341,1
60342,0
60343,0
60344,1
60345,1
60346,1
60347,1
60348,1
60349,0
60350,1
60351,1
60352,0
60353,0
60354,0
60355,1
60356,1
60357,1
60358,1
60359,1
60360,1
60361,0
60362,0
60363,1
60364,1
60365,0
60366,1
60367,0
60368,1
60369,0
60370,1
60371,0
60372,1
60373,1
60374,0
60375,0
60376,0
60377,1
60378,1
60379,1
60380,1
60381,0
60382,1
60383,0
60384,1
60385,1
60386,0
60387,0
60388,1
60389,1
60390,1
60391,1
60392,0
60393,1
60394,1
60395,0
60396,1
60397,0
60398,0
60399,0
60400,1
60401,1
60402,0
60403,1
60404,1
60405,0
60406,1
60407,1
60408,0
60409,0
60410,1
60411,0
60412,1
60413,0
60414,0
60415,0
60416,0
60417,0
60418,1
60419,1
60420,1
60421,0
60422,0
60423,0
60424,0
60425,1
60426,0
60427,0
60428,1
60429,0
60430,1
60431,0
60432,1
60433,0
60434,0
60435,0
60436,0
60437,1
60438,0
60439,1
60440,1
60441,0
60442,1
60443,1
60444,0
60445,1
60446,0
60447,0
60448,1
60449,1
60450,0
60451,1
60452,0
60453,1
60454,0
60455,0
60456,0
60457,0
60458,0
60459,1
60460,1
60461,1
60462,0
60463,1
60464,1
60465,0
60466,0
60467,0
60468,1
60469,1
60470,0
60471,0
60472,1
60473,1
60474,0
60475,1
60476,0
60477,1
60478,1
60479,0
60480,0
60481,0
60482,0
60483,1
60484,1
60485,1
60486,0
60487,1
60488,0
60489,0
60490,1
60491,1
60492,1
60493,1
60494,1
60495,1
60496,0
60497,1
60498,0
60499,1
60500,0
60501,0
60502,0
60503,1
60504,1
60505,0
60506,0
60507,1
60508,0
60509,1
60510,1
60511,1
60512,1
60513,1
60514,1
60515,1
60516,0
60517,0
60518,0
60519,0
60520,0
60521,0
60522,1
60523,0
60524,1
60525,0
60526,0
60527,0
60528,0
60529,0
60530,0
60531,1
60532,0
60533,0
60534,1
60535,0
60536,1
60537,0
60538,0
60539,0
60540,0
60541,1
60542,0
60543,1
60544,1
60545,0
60546,1
60547,1
60548,0
60549,0
60550,1
60551,1
60552,1
60553,0
60554,0
60555,0
60556,0
60557,1
60558,1
60559,0
60560,0
60561,1
60562,1
60563,0
60564,0
60565,1
60566,0
60567,0
60568,0
60569,1
60570,1
60571,1
60572,1
60573,0
60574,1
60575,1
60576,1
60577,1
60578,1
60579,0
60580,0
60581,1
60582,0
60583,1
60584,1
60585,1
60586,1
60587,0
60588,1
60589,1
60590,1
60591,0
60592,0
60593,0
60594,1
60595,0
60596,1
